season_key,base_year,split_type,team,player_id,player_name_ja,player_name_en,G,PA,AB,H,1B,2B,3B,HR,TB,R,RBI,BB,SO,HBP,SH,SF,SB,CS,GDP,AVG,OBP,SLG,OPS,打率,安打,本塁打,打点,試合,打席,打数,単打,二塁打,三塁打,得点,出塁率,長打率,四球,敬遠,死球,三振,塁打,盗塁,盗塁死,犠打,犠飛,併殺打,IsoP,IsoD,BB%,K%,BB/K,RC,XR,BABIP,SecA,TA,NOI,GPA
1936S,1936,spring,タイガース,21123872,伊賀上　良平1936年 公式戦初出場,,15,59,55,12,9,3,0,0,15,7,5,1,5,0,3,0.0,0,,,0.218,0.232,0.273,0.505,0.218,12,0,5,15,59,55,9,3,0,7,0.232,0.273,1,,0,,15,0,,3,0.0,,0.05500000000000002,0.014000000000000012,1.694915254237288,8.47457627118644,0.2,3.482142857142857,2.776,0.24,0.07272727272727272,0.37209302325581395,323.0,0.17265000000000003
1936S,1936,spring,タイガース,61563872,景浦　将1936年 公式戦初出場,,15,66,58,19,12,5,1,1,29,6,17,8,5,0,0,0.0,0,,,0.328,0.409,0.5,0.909,0.328,19,1,17,15,66,58,12,5,1,6,0.409,0.5,8,,0,,29,0,,0,0.0,,0.172,0.08099999999999996,12.121212121212121,7.575757575757576,1.6,11.863636363636363,10.898,0.34615384615384615,0.3103448275862069,0.9487179487179487,575.6666666666666,0.30905
1936S,1936,spring,タイガース,73173872,平桝　敏男1936年 公式戦初出場,,15,75,69,18,17,1,0,0,19,12,7,4,3,0,2,0.0,6,,,0.261,0.301,0.275,0.5760000000000001,0.261,18,0,7,15,75,69,17,1,0,12,0.301,0.275,4,,0,,19,6,,2,0.0,,0.014000000000000012,0.03999999999999998,5.333333333333334,4.0,1.3333333333333333,5.726027397260274,6.622000000000001,0.2727272727272727,0.15942028985507245,0.5686274509803921,392.6666666666667,0.2042
1936S,1936,spring,タイガース,03103872,藤井　勇1936年 公式戦初出場,,15,78,63,23,18,4,0,1,30,11,5,10,4,1,4,0.0,0,,,0.365,0.459,0.476,0.935,0.365,23,1,5,15,78,63,18,4,0,11,0.459,0.476,10,,1,,30,0,,4,0.0,,0.11099999999999999,0.09400000000000003,12.82051282051282,5.128205128205128,2.5,13.561643835616438,13.03,0.3793103448275862,0.2698412698412698,1.025,617.6666666666667,0.32555
1936S,1936,spring,タイガース,23323872,松木　謙治郎1936年 公式戦初出場,,15,75,67,17,11,5,1,0,24,14,12,6,9,0,2,0.0,7,,,0.254,0.315,0.358,0.673,0.254,17,0,12,15,75,67,11,5,1,14,0.315,0.358,6,,0,,24,7,,2,0.0,,0.10399999999999998,0.061,8.0,12.0,0.6666666666666666,7.561643835616438,8.48,0.29310344827586204,0.29850746268656714,0.74,434.33333333333337,0.23125
1936S,1936,spring,名古屋,81283872,高橋　吉雄1936年 公式戦初出場,,16,73,58,18,9,5,1,3,34,16,11,13,7,2,0,0.0,2,,,0.31,0.452,0.586,1.038,0.31,18,3,11,16,73,58,9,5,1,16,0.452,0.586,13,,2,,34,2,,0,0.0,,0.27599999999999997,0.14200000000000002,17.80821917808219,9.58904109589041,1.8571428571428572,14.845070422535212,14.85,0.3125,0.5344827586206896,1.275,647.3333333333334,0.3499
1936S,1936,spring,名古屋,71873872,野村　実1936年 公式戦初出場,,16,75,71,13,12,1,0,0,14,6,7,3,4,0,1,0.0,1,,,0.183,0.216,0.197,0.41300000000000003,0.183,13,0,7,16,75,71,12,1,0,6,0.216,0.197,3,,0,,14,1,,1,0.0,,0.014000000000000012,0.033,4.0,5.333333333333334,0.75,3.027027027027027,2.2059999999999995,0.19402985074626866,0.07042253521126761,0.3103448275862069,281.6666666666667,0.14645
1936S,1936,spring,名古屋,01803872,ハリス1936年 公式戦初出場,,15,72,69,24,20,2,1,1,31,12,11,2,5,1,0,0.0,5,,,0.348,0.375,0.449,0.8240000000000001,0.348,24,1,11,15,72,69,20,2,1,12,0.375,0.449,2,,1,,31,5,,0,0.0,,0.10100000000000003,0.027000000000000024,2.7777777777777777,6.944444444444445,0.4,11.352112676056338,11.4,0.36507936507936506,0.2028985507246377,0.8666666666666667,524.6666666666666,0.281
1936S,1936,spring,名古屋,53353872,前田　喜代士1936年 公式戦初出場,,16,70,67,19,13,3,1,2,30,9,12,3,7,0,0,0.0,1,,,0.284,0.314,0.448,0.762,0.284,19,2,12,16,70,67,13,3,1,9,0.314,0.448,3,,0,,30,1,,0,0.0,,0.16400000000000003,0.030000000000000027,4.285714285714286,10.0,0.42857142857142855,9.428571428571429,9.045999999999998,0.29310344827586204,0.22388059701492538,0.7083333333333334,463.33333333333337,0.2533
1936S,1936,spring,名古屋,93393872,桝　嘉一1936年 公式戦初出場,,14,66,57,12,9,2,0,1,17,6,6,9,6,0,0,0.0,3,,,0.211,0.318,0.298,0.616,0.211,12,1,6,14,66,57,9,2,0,6,0.318,0.298,9,,0,,17,3,,0,0.0,,0.087,0.10700000000000001,13.636363636363635,9.090909090909092,1.5,5.409090909090909,6.48,0.22,0.2982456140350877,0.6444444444444445,417.3333333333333,0.21760000000000002
1936S,1936,spring,阪　急,21323872,宇野　錦次1936年 公式戦初出場,,18,85,73,21,15,6,0,0,27,9,16,12,10,0,0,0.0,2,,,0.288,0.388,0.37,0.758,0.288,21,0,16,18,85,73,15,6,0,9,0.388,0.37,12,,0,,27,2,,0,0.0,,0.08200000000000002,0.10000000000000003,14.117647058823529,11.76470588235294,1.2,10.48235294117647,11.044,0.3333333333333333,0.273972602739726,0.7884615384615384,511.3333333333333,0.2671
